,0
38,"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008"
39,"Джокер (2019)
Joker"
40,"Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith"
41,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind"
42,"Американская история X (1998)
American History X"
43,"Общество мертвых поэтов (1989)
Dead Poets Society"
44,"Красота по-американски (1999)
American Beauty"
45,Курьер (1986)
46,"Железный человек (2008)
Iron Man"
47,"Мстители: Финал (2019)
Avengers: Endgame"
48,"Бешеные псы (1991)
Reservoir Dogs"
49,"Хранители (2009)
Watchmen"
50,"Король говорит!
The King's Speech, 2010"
51,"Апокалипсис сегодня (1979)
Apocalypse Now"
52,"Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
53,"Оленья кожа (2019)
Le daim"
54,"На посту!
Au poste!, 2018"
55,"Таксист (1976)
Taxi Driver
(с робертом де ниро)"
56,"Мимино
1977"
57,"Страсти Христовы
The Passion of the Christ, 2004"
58,"Ночь на Земле (1991)
Night on Earth"
59,"Крик (1996)
Scream"
60,"Круто сваренные (1992)
Lat sau san taam"
61,"Здесь курят (2005)
Thank You for Smoking"
62,Наша Russia: Яйца судьбы (2010)
63,"Мертвец (1995)
Dead Man"
64,Гитлер капут! (2008)
65,"Чокнутый (2006)
Delirious"
66,"Тайное окно (2004)
Secret Window"
67,"Дилер (1996)
Pusher"
68,"Безумный Макс 2: Воин дороги (1981)
Mad Max 2"
69,"Головоломка (2015)
Inside Out"
70,"Невезучие (2003)
Tais-toi!"
71,"Мертвые не умирают (2019)
The Dead Don't Die"
72,X (2022)
73,"Пэрл (2022)
Pearl"
74,"Пришельцы в Америке (2001)
Just Visiting"
75,"Такие разные близнецы (2011)
Jack and Jill"
76,"Выживут только любовники (2013)
Only Lovers Left Alive"
77,"Клик: С пультом по жизни
Click, 2006"
78,"Билли Мэдисон
Billy Madison, 1995"
79,"Яйцеголовые
Coneheads, 1993"
80,"Дом большой мамочки (2000)
Big Momma's House"
81,"Смертельное оружие (1987)
Lethal Weapon"
82,"Кофе и сигареты (2003)
Coffee and Cigarettes"
83,"Неогранённые алмазы (2019)
Uncut Gems"
84,"Нечто (2011)
The Thing"
85,"Нечто (1982)
The Thing"
86,"Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
87,"Пленницы (2013)
Prisoners"
88,"Вне закона (1986)
Down by Law"
89,"21 грамм (2003)
21 Grams"
90,"Побег из Нью-Йорка (1981)
Escape from New York (не тарков)"
91,"Терминатор (1984)
The Terminator"
92,День радио (2003)
93,День радио (2008)
94,День выборов (2009)
95,О чём говорят мужчины (2010)
96,О чём ещё говорят мужчины (2011)
97,"Пункт назначения (2000)
Final Destination"
98,"Дневник памяти (2004)
The Notebook"
99,"Пункт назначения. Аквапарк (2019)
Aquaslash"
100,"Славные парни (2016)
The Nice Guys"
101,"Секреты Лос-Анджелеса (1997)
L.A. Confidential"
102,"Агенты А.Н.К.Л. (2015)
The Man from U.N.C.L.E."
103,"Последний бойскаут (1991)
The Last Boy Scout"
104,"Поцелуй на вылет (2005)
Kiss Kiss Bang Bang"
105,"Большой Лебовски (1998)
The Big Lebowski"
106,"Типа крутые легавые (2007)
Hot Fuzz"
107,"Зомби по имени Шон (2004)
Shaun of the Dead"
108,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World"
109,"Армагеддец (2013)
The World's End"
110,"Мачо и ботан (2012)
21 Jump Street"
111,"Однажды в Ирландии (2011)
The Guard"
112,"Залечь на дно в Брюгге (2007)
In Bruges"
113,"Семь психопатов (2012)
Seven Psychopaths"
114,"Грязь (2013)
Filth"
115,"Копы в глубоком запасе (2010)
The Other Guys"
116,"Врожденный порок (2014)
Inherent Vice"
117,"Телохранитель киллера (2017)
The Hitman's Bodyguard"
118,Гидравлика (2010)
119,"Папа, сдохни (2018)"
120,Чужие (1986)
121,"Зодиак (2007)
Zodiac"
122,"500 дней лета (2009)
(500) Days of Summer"
123,"Между нами музыка (2015)
Song to Song"
124,"Как поймать монстра (2014)
Lost River"
125,"Только бог простит (2012)
Only God Forgives"
126,"Серый человек (2022)
The Gray Man"
127,"Человек на Луне (2018)
First Man"
128,"Бегущий по лезвию 2049 (2017)
Blade Runner 2049"
129,"Игра на понижение (2015)
The Big Short"
130,"Место под соснами (2012)
The Place Beyond the Pines"
131,"Эта дурацкая любовь (2011)
Crazy, Stupid, Love."
132,"Мартовские иды (2011)
The Ides of March"
133,"Драйв (2011)
Drive"
134,"Ларс и настоящая девушка (2007)
Lars and the Real Girl"
135,"Перелом (2007)
Fracture"
136,"Полу-Нельсон (2006)
Half Nelson"
137,"Останься (2005)
Stay"
138,"Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland"
139,"Фанатик (2001)
The Believer"
140,"Не говори никому (2021)
Gæsterne"
141,"Мементо (2000)
Memento"
142,"Терминал (2004)
The Terminal"
143,"Круэлла (2021)
Cruella"
144,"Психо (1960)
Psycho"
145,"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
146,"Звездный десант (1997)
Starship Troopers"
147,"Клуб «Завтрак» (1985)
The Breakfast Club"
148,"Образцовый самец (2001)
Zoolander"
149,"Фарго (1995)
Fargo"
150,"Субстанция (2024)
The Substance"
151,"Платформа 2 (2024)
El hoyo 2"
152,"Не говори никому (2024)
Speak No Evil"
153,"Ворон (2024)
The Crow"
154,"Пчеловод (2024)
The Beekeeper"
155,"Головоломка 2 (2024)
Inside Out 2"
156,"Дэдпул и Росомаха (2024)
Deadpool & Wolverine"
157,"Ловушка (2024)
Trap"
158,"Министерство неджентльменских дел (2024)
The Ministry of Ungentlemanly Warfare"
159,"Полночь с дьяволом (2023)
Late Night with the Devil"
160,"Вонка (2023)
Wonka"
161,"Каскадёры (2024)
The Fall Guy"
162,"Бедные-несчастные (2023)
Poor Things"
163,"Виды доброты (2024)
Kinds of Kindness"
164,"Барби (2023)
Barbie"
165,"Оппенгеймер (2023)
Oppenheimer"
166,"Максин XXX (2024)
MaXXXine"
167,"Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish"
168,"Джокер: Безумие на двоих (2024)
Joker: Folie à Deux"
169,Майор Гром: Игра (2024)
170,"Зона интересов (2023)
The Zone of Interest"
171,"Анора (2024)
Anora"
172,Мастер и Маргарита (2023)
173,"Гладиатор 2 (2024)
Gladiator II"
174,"Чужой: Ромул (2024)
Alien: Romulus"
175,"Битлджус Битлджус (2024)
Beetlejuice Beetlejuice"
176,"Дюна: Часть вторая (2024)
Dune: Part Two"
177,"Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3"
178,"Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One"
179,"Джон Уик 4 (2023)
John Wick: Chapter 4"
180,"Конклав (2024)
Conclave"
181,"Сотни бобров (2024)
Hundreds of Beavers"
182,"Чужой: Ромул (2024)
Alien: Romulus.1"
183,"
Мемуары Улитки (2024)
Memoir of a Snail"
184,"
Небриллиантовая рука (2024)"
185,"
Бременские музыканты (2023)"
